player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Terrence Ross,rosste01,2023,RS,PHO,823,386,2.96621661,-3.20188518,-0.23566857,2.03889615,-4.859460467,-2.820564317,2.944967616,-3.774326808,-0.829359192,0.378680447,0.378680447,0,2.811097017,-2.309574684,0.501522333,0.116031669
Terrence Ross,rosste01,2023,RS,ORL,1962,944,-1.965001991,-1.191882455,-3.156884446,-1.185001012,-0.11426996,-1.299270973,-1.891690664,-1.033906473,-2.925597137,-0.084252089,-0.084252089,0,-2.465635053,-1.726949382,-4.192584435,-0.382561857
Terry Rozier,roziete01,2023,RS,CHA,4714,2221,0.228592454,-0.482378701,-0.253786247,1.815801427,-2.505464239,-0.689662812,0.680606956,-0.92139045,-0.240783494,2.828817597,2.828817597,0,0.872809247,-0.198285683,0.674523565,-0.51514081
Ricky Rubio,rubiori01,2023,PO,CLE,34,17,-17.00079331,7.880499831,-9.120293479,-20.12077743,7.200431571,-12.92034586,-18.59319389,8.097880192,-10.49531369,-0.072990164,0,-0.072990164,-16.4664126,5.282447379,-11.18396522,5.245057373
Ricky Rubio,rubiori01,2023,RS,CLE,1158,566,-2.284562648,4.189220499,1.904657851,-4.676201341,2.505738251,-2.17046309,-2.947752492,4.034062181,1.086309689,1.105832241,1.105832241,0,-1.946300544,3.692246238,1.745945695,-0.181416978
D'Angelo Russell,russeda01,2023,PO,LAL,989,473,0.462035857,-2.645221883,-2.183186026,3.457321683,-6.68748561,-3.230163927,1.09175226,-3.705917404,-2.614165144,0.034121847,0,0.034121847,3.021123589,-2.595934004,0.425189586,0.909631856
D'Angelo Russell,russeda01,2023,RS,LAL,1097,526,3.859518792,-2.31468949,1.544829303,4.610409892,1.351992441,5.962402333,4.265728574,-1.715839611,2.549888963,1.427633147,1.427633147,0,3.353973632,-1.724905973,1.629067659,0.378057782
D'Angelo Russell,russeda01,2023,RS,MIN,3762,1778,2.432779549,-1.198192654,1.234586895,-1.991386738,-2.429405491,-4.420792229,1.66892814,-1.538050342,0.130877797,2.638160415,2.638160415,0,1.536817212,-0.905185434,0.631631777,0.958362654
Matt Ryan,ryanma01,2023,RS,LAL,286,129,-4.754383112,1.181626164,-3.572756948,-6.128151315,3.070945393,-3.057205922,-5.320186565,1.64688536,-3.673301205,-0.060893218,-0.060893218,0,-3.583616099,-0.571219253,-4.154835352,0.208304492
Matt Ryan,ryanma01,2023,RS,MIN,401,181,-0.598880263,-5.136537567,-5.73541783,4.070596909,-3.400444277,0.670152632,0.36847222,-5.089337033,-4.720864813,-0.182662637,-0.182662637,0,-0.028613868,-5.210359878,-5.238973745,0.366442257
